add_info;annotation;brand;"<setup>FMANUFACTURER;Все бренды:;string</setup>";"<setup>FATT_STR_38;Бренд:;string</setup>";"<setup>FNUMBER;Код товара;string</setup>";"<setup>FSTATE;Остатки на складе;int</setup>";"<setup>FATT_STR_33;DIA:;string</setup>";"<setup>FATT_STR_29;Посадочный диаметр:;string</setup>";"<setup>FATT_STR_32;Вылет:;string</setup>";"<setup>FATT_STR_30;Кол-во отверстий:;string</setup>";img;img_full;"<setup>FATT_STR_60;Ссылка:;string</setup>";"<setup>FATT_STR_36;Модель:;string</setup>";"<setup>FNAME;Наименование;string</setup>";"<setup>FATT_STR_31;PCD:;string</setup>";"<setup>FATT_STR_62;Цена закупа;int</setup>";"<setup>FATT_STR_63;Цена продажи;int</setup>";"<setup>FPRICE;Стоимость;double</setup>";"<setup>FATT_STR_61;Продавец:;string</setup>";short_name;"<setup>FANNOTATION;Описания;string</setup>";title_short;"<setup>FATT_STR_34;Тип:;string</setup>";"<setup>FATT_STR_24;Вид товара:;string</setup>";"<setup>FATT_STR_28;Ширина обода:;string</setup>"
(белые);"8.5/9.5x18"", 5x114.30, ET38/22";Work Emotion;WORK;WORK;40174;4;0.0;18;38;5;https://static.baza.farpost.ru/drom/1527580277980_bulletin;https://static.baza.farpost.ru/drom/1527580277980_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-107-white-work-t7r-r18-107-8820-8921-62852949.html;JS 107 T7R;9,5*18 5*114,3 ET38 WORK JS 107 T7R (белые);114.3;27900;32900;8225;WorldWheels;"9.5x18"", 5x114.3, ET38,";Новые! Разноширокие JS 107 White Work T7R R18 (107-8820/8921);JS 107 Work T7R (белые);Литой;Disk;9.5
(белые);"8.5/9.5x18"", 5x114.30, ET38/22";Work Emotion;WORK;WORK;40175;4;0.0;18;22;5;https://static.baza.farpost.ru/drom/1527580277980_bulletin;https://static.baza.farpost.ru/drom/1527580277980_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-107-white-work-t7r-r18-107-8820-8921-62852949.html;JS 107 T7R;9,5*18 5*114,3 ET22 WORK JS 107 T7R (белые);114.3;27900;32900;8225;WorldWheels;"9.5x18"", 5x114.3, ET22,";Новые! Разноширокие JS 107 White Work T7R R18 (107-8820/8921);JS 107 Work T7R (белые);Литой;Disk;9.5
(machined) (черный);"8.5x19"", 5x114.30, ET35, ЦО 73,1мм.";Vossen;VOSSEN;VOSSEN;40176;4;73.1;19;35;5;https://static.baza.farpost.ru/drom/1528560600243_bulletin;https://static.baza.farpost.ru/drom/1528560600243_default;https://baza.drom.ru/vladivostok/wheel/disc/novinka-vs-511-vossen-black-machined-r19-511-0006-62898541.html;VS 511;8,5*19 5*114,3 ET35 73,1 VOSSEN VS 511 (machined) (черный);114.3;35900;45900;11475;WorldWheels;"8.5x19"", 5x114.3, ET35, ЦО73.1";Новинка! VS 511 Vossen Black Machined R19 (511-0006);VS 511 Vossen (machined) (черный);Литой;Disk;8.5
(белые) (диповые);"9.0x17"", 5x114.30, ET35";Enkei;ENKEI;ENKEI;40177;4;0.0;17;35;5;https://static.baza.farpost.ru/drom/1509426699455_bulletin;https://static.baza.farpost.ru/drom/1509426699455_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-102-white-r17-102-0011-58276300.html;JS 102;9,0*17 5*114,3 ET35 ENKEI JS 102 (белые) (диповые);114.3;22900;27900;6975;WorldWheels;"9.0x17"", 5x114.3, ET35,";Новые! Диповые JS 102 White R17 (102-0011);JS 102 (белые) (диповые);Литой;Disk;9.0
(диповые);"10.0x18"", 5x114.30, ET27";RAYS VOLK RACING TE37 SL;VOLK;VOLK;40178;4;0.0;18;27;5;https://static.baza.farpost.ru/drom/1526660223926_bulletin;https://static.baza.farpost.ru/drom/1526660223926_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-r18-401-0029-63516890.html;TE37;10,0*18 5*114,3 ET27 VOLK TE37 (диповые);114.3;28900;33900;8475;WorldWheels;"10.0x18"", 5x114.3, ET27,";Новые! Диповые JS 401 Rota Volk Racing TE37 R18 (401-0029);Volk Racing TE37 (диповые);Литой;Disk;10.0
(диповые);"10.0x18"", 5x114.30, ET18";RAYS VOLK RACING TE37 SL;VOLK;VOLK;40179;4;0.0;18;18;5;https://static.baza.farpost.ru/drom/1522993095553_bulletin;https://static.baza.farpost.ru/drom/1522993095553_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-r18-401-0011-55171965.html;TE37;10,0*18 5*114,3 ET18 VOLK TE37 (диповые);114.3;28900;33900;8475;WorldWheels;"10.0x18"", 5x114.3, ET18,";Новые! Диповые JS 401 Rota Volk Racing TE37 R18 (401-0011);Volk Racing TE37 (диповые);Литой;Disk;10.0
(бронза);"8.5/9.5x18"", 5x114.30, ET38/22, ЦО 73,1мм.";Work Emotion;WORK;WORK;40180;4;73.1;18;38;5;https://static.baza.farpost.ru/drom/1529934595900_bulletin;https://static.baza.farpost.ru/drom/1529934595900_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-107-bronze-work-t7r-r18-107-8823-8924-64487519.html;JS 107 T7R;8,5*18 5*114,3 ET38 73,1 WORK JS 107 T7R (бронза);114.3;27900;32900;8225;WorldWheels;"8.5x18"", 5x114.3, ET38, ЦО73.1";Новые! Разноширокие JS 107 Bronze Work T7R R18 (107-8823/8924);JS 107 Work T7R (бронза);Литой;Disk;8.5
(бронза);"8.5/9.5x18"", 5x114.30, ET38/22, ЦО 73,1мм.";Work Emotion;WORK;WORK;40181;4;73.1;18;22;5;https://static.baza.farpost.ru/drom/1529934595900_bulletin;https://static.baza.farpost.ru/drom/1529934595900_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-107-bronze-work-t7r-r18-107-8823-8924-64487519.html;JS 107 T7R;8,5*18 5*114,3 ET22 73,1 WORK JS 107 T7R (бронза);114.3;27900;32900;8225;WorldWheels;"8.5x18"", 5x114.3, ET22, ЦО73.1";Новые! Разноширокие JS 107 Bronze Work T7R R18 (107-8823/8924);JS 107 Work T7R (бронза);Литой;Disk;8.5
(бронза);"8.5/9.5x18"", 5x114.30, ET38/22, ЦО 73,1мм.";Work Emotion;WORK;WORK;40182;4;73.1;18;38;5;https://static.baza.farpost.ru/drom/1529934595900_bulletin;https://static.baza.farpost.ru/drom/1529934595900_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-107-bronze-work-t7r-r18-107-8823-8924-64487519.html;JS 107 T7R;9,5*18 5*114,3 ET38 73,1 WORK JS 107 T7R (бронза);114.3;27900;32900;8225;WorldWheels;"9.5x18"", 5x114.3, ET38, ЦО73.1";Новые! Разноширокие JS 107 Bronze Work T7R R18 (107-8823/8924);JS 107 Work T7R (бронза);Литой;Disk;9.5
(насыщенный) (диповые);"8.5x18"", 5x100.00, ET45, ЦО 73,1мм.";Work Emotion;WORK;WORK;40183;4;73.1;18;45;5;https://static.baza.farpost.ru/drom/1528485974086_bulletin;https://static.baza.farpost.ru/drom/1528485974086_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-107-hyper-work-t7r-r18-107-8816-62398200.html;JS 107 T7R;8,5*18 5*100,0 ET45 73,1 WORK JS 107 T7R (насыщенный) (диповые);100.0;27900;32900;8225;WorldWheels;"8.5x18"", 5x100.0, ET45, ЦО73.1";Новые! Диповые JS 107 Hyper Work T7R R18 (107-8816);JS 107 Work T7R (насыщенный) (диповые);Литой;Disk;8.5
