add_info;annotation;brand;"<setup>FMANUFACTURER;Все бренды:;string</setup>";"<setup>FATT_STR_38;Бренд:;string</setup>";"<setup>FNUMBER;Код товара;string</setup>";"<setup>FSTATE;Остатки на складе;int</setup>";"<setup>FATT_STR_33;DIA:;string</setup>";"<setup>FATT_STR_29;Посадочный диаметр:;string</setup>";"<setup>FATT_STR_32;Вылет:;string</setup>";"<setup>FATT_STR_30;Кол-во отверстий:;string</setup>";img;img_full;"<setup>FATT_STR_60;Ссылка:;string</setup>";"<setup>FATT_STR_36;Модель:;string</setup>";"<setup>FNAME;Наименование;string</setup>";"<setup>FATT_STR_31;PCD:;string</setup>";"<setup>FATT_STR_62;Цена закупа;int</setup>";"<setup>FATT_STR_63;Цена продажи;int</setup>";"<setup>FPRICE;Стоимость;double</setup>";"<setup>FATT_STR_61;Продавец:;string</setup>";short_name;"<setup>FANNOTATION;Описания;string</setup>";title_short;"<setup>FATT_STR_34;Тип:;string</setup>";"<setup>FATT_STR_24;Вид товара:;string</setup>";"<setup>FATT_STR_28;Ширина обода:;string</setup>"
;"10.0x20"", 5x150.00, ET0, ЦО 110,5мм.";Wald Jarret;Wald;Wald;40001;4;110.5;20;0;5;https://static.baza.farpost.ru/drom/1528475694247_bulletin;https://static.baza.farpost.ru/drom/1528475694247_default;https://baza.drom.ru/vladivostok/wheel/disc/topovye-diski-wald-jarret-r20-analog-na-lexus-lx570-lc200-tundra-63426827.html;Jarret;10,0*20 5*150,0 110,5 Wald Jarret;150.0;43900;53900;13475;WorldWheels;"10.0x20"", 5x150.0, ЦО110.5";Топовые диски Wald Jarret R20 (аналог) на Lexus LX570 LC200 Tundra;Wald Jarret;Литой;Disk;10.0
(диповые);"8.0x17"", 5x114.30, ET35, ЦО 73,1мм.";ROTA VOLK RACING TE37 SL;VOLK;VOLK;40002;4;73.1;17;35;5;https://static.baza.farpost.ru/drom/1528912452002_bulletin;https://static.baza.farpost.ru/drom/1528912452002_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r17-59816397.html;TE37 SL;8,0*17 5*114,3 ET35 73,1 VOLK TE37 SL (диповые);114.3;24900;29900;7475;WorldWheels;"8.0x17"", 5x114.3, ET35, ЦО73.1";Новые! Диповые JS 401 Rota Volk Racing TE37 SL R17;Volk Racing TE37 SL (диповые);Литой;Disk;8.0
(насыщенный) (диповые);"8.0x17"", 5x100.00, 5x114.30, ЦО 73,1мм.";JS;JS;JS;40003;4;73.1;17;0;5;https://static.baza.farpost.ru/drom/1530961642219_bulletin;https://static.baza.farpost.ru/drom/1530961642219_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-105-hyper-r17-64794648.html;105;8,0*17 5*100,0 73,1 JS 105 (насыщенный) (диповые);100.0;24900;29900;7475;WorldWheels;"8.0x17"", 5x100.0, ЦО73.1";Новые! Диповые JS 105 Hyper R17;JS 105 (насыщенный) (диповые);Литой;Disk;8.0
(насыщенный) (диповые);"8.0x17"", 5x100.00, 5x114.30, ЦО 73,1мм.";JS;JS;JS;40004;4;73.1;17;0;5;https://static.baza.farpost.ru/drom/1530961642219_bulletin;https://static.baza.farpost.ru/drom/1530961642219_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-105-hyper-r17-64794648.html;105;8,0*17 5*114,3 73,1 JS 105 (насыщенный) (диповые);114.3;24900;29900;7475;WorldWheels;"8.0x17"", 5x114.3, ЦО73.1";Новые! Диповые JS 105 Hyper R17;JS 105 (насыщенный) (диповые);Литой;Disk;8.0
(диповые);"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;VOLK;40005;4;73.1;16;35;4;https://static.baza.farpost.ru/drom/1528556609259_bulletin;https://static.baza.farpost.ru/drom/1528556609259_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r16-64098883.html;TE37 SL;7,0*16 4*100,0 ET35 73,1 VOLK TE37 SL (диповые);100.0;21900;26900;6725;WorldWheels;"7.0x16"", 4x100.0, ET35, ЦО73.1";Новые! Диповые JS 401 Rota Volk Racing TE37 SL R16;Volk Racing TE37 SL (диповые);Литой;Disk;7.0
(диповые);"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;VOLK;40006;4;73.1;16;35;4;https://static.baza.farpost.ru/drom/1528556609259_bulletin;https://static.baza.farpost.ru/drom/1528556609259_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r16-64098883.html;TE37 SL;7,0*16 4*114,3 ET35 73,1 VOLK TE37 SL (диповые);114.3;21900;26900;6725;WorldWheels;"7.0x16"", 4x114.3, ET35, ЦО73.1";Новые! Диповые JS 401 Rota Volk Racing TE37 SL R16;Volk Racing TE37 SL (диповые);Литой;Disk;7.0
(диповые);"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;VOLK;40007;4;73.1;16;28;4;https://static.baza.farpost.ru/drom/1528556609259_bulletin;https://static.baza.farpost.ru/drom/1528556609259_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r16-64098883.html;TE37 SL;7,0*16 4*100,0 ET28 73,1 VOLK TE37 SL (диповые);100.0;21900;26900;6725;WorldWheels;"7.0x16"", 4x100.0, ET28, ЦО73.1";Новые! Диповые JS 401 Rota Volk Racing TE37 SL R16;Volk Racing TE37 SL (диповые);Литой;Disk;7.0
(диповые);"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;VOLK;40008;4;73.1;16;28;4;https://static.baza.farpost.ru/drom/1528556609259_bulletin;https://static.baza.farpost.ru/drom/1528556609259_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r16-64098883.html;TE37 SL;7,0*16 4*114,3 ET28 73,1 VOLK TE37 SL (диповые);114.3;21900;26900;6725;WorldWheels;"7.0x16"", 4x114.3, ET28, ЦО73.1";Новые! Диповые JS 401 Rota Volk Racing TE37 SL R16;Volk Racing TE37 SL (диповые);Литой;Disk;7.0
(диповые);"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;VOLK;40009;4;73.1;16;35;4;https://static.baza.farpost.ru/drom/1528556609259_bulletin;https://static.baza.farpost.ru/drom/1528556609259_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r16-64098883.html;TE37 SL;8,0*16 4*100,0 ET35 73,1 VOLK TE37 SL (диповые);100.0;21900;26900;6725;WorldWheels;"8.0x16"", 4x100.0, ET35, ЦО73.1";Новые! Диповые JS 401 Rota Volk Racing TE37 SL R16;Volk Racing TE37 SL (диповые);Литой;Disk;8.0
(диповые);"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;VOLK;40010;4;73.1;16;35;4;https://static.baza.farpost.ru/drom/1528556609259_bulletin;https://static.baza.farpost.ru/drom/1528556609259_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r16-64098883.html;TE37 SL;8,0*16 4*114,3 ET35 73,1 VOLK TE37 SL (диповые);114.3;21900;26900;6725;WorldWheels;"8.0x16"", 4x114.3, ET35, ЦО73.1";Новые! Диповые JS 401 Rota Volk Racing TE37 SL R16;Volk Racing TE37 SL (диповые);Литой;Disk;8.0
