link;price;title;title_short;annotation;diameter;width;et;pcd;type;dia;retail_price;brand;img;img_full;seller
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-xxr-527-62927868.html;21999;Комплект дисков XXR 527;XXR 527;"9.0x17"", 5x100.00, 5x114.30, ET28, ЦО 73,1мм.";"17""";"9.0""";28мм;100.00x5,114.30x5;Литой;73,1 мм.;26999;XXR;https://static.baza.farpost.ru/drom/1524526759692_bulletin;https://static.baza.farpost.ru/drom/1524526759692_default;
https://baza.drom.ru/chita/wheel/disc/new-dip-shogun-a1-65896887.html;21999;New! Дип. Shogun A1;Дип. Shogun A1;"8.5/9.5x17"", 5x114.30, ET22/18, ЦО 73,1мм.";"17""";"8.5/9.5""";22/18мм;114.30x5;Литой;73,1 мм.;26999;Shogun;https://static.baza.farpost.ru/drom/1534993470535_bulletin;https://static.baza.farpost.ru/drom/1534993470535_default;
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-lexus-63602883.html;32999;Комплект дисков Lexus;Lexus;"8.0x19"", 5x114.30, ET35, ЦО 60,1мм.";"19""";"8.0""";35мм;114.30x5;Литой;60,1 мм.;42999;Lexus;https://static.baza.farpost.ru/drom/1526973387059_bulletin;https://static.baza.farpost.ru/drom/1526973387059_default;
https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-105-hyper-r17-64794648.html;24900;Новые! Диповые JS 105 Hyper R17;Диповые JS 105 Hyper R17;"8.0x17"", 5x100.00, 5x114.30, ЦО 73,1мм.";"17""";"8.0""";;100.00x5,114.30x5;Литой;73,1 мм.;29900;JS;https://static.baza.farpost.ru/drom/1530961642219_bulletin;https://static.baza.farpost.ru/drom/1530961642219_default;
https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r16-64098883.html;21900;Новые! Диповые JS 401 Rota Volk Racing TE37 SL R16;Диповые JS 401 Rota Volk Racing TE37 SL R16;"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";"16""";"7.0/8.0""";35/28мм;100.00x4,114.30x4;Литой;73,1 мм.;26900;RAYS VOLK RACING TE37 SL;https://static.baza.farpost.ru/drom/1528556609259_bulletin;https://static.baza.farpost.ru/drom/1528556609259_default;
https://baza.drom.ru/vladivostok/wheel/disc/novinka-ultra-dipovye-js-107-hyper-bronze-white-64956493.html;29900;Новинка! Ультра диповые JS 107 Hyper / Bronze / White;Ультра диповые JS 107 Hyper / Bronze / White;"10.5x18"", 5x114.30, ET22, ЦО 73,1мм.";"18""";"10.5""";22мм;114.30x5;Литой;73,1 мм.;34900;Work Emotion;https://static.baza.farpost.ru/drom/1535127385555_bulletin;https://static.baza.farpost.ru/drom/1535127385555_default;
