link;price;title;title_short;annotation;diameter;width;et;pcd;type;dia;retail_price;brand;img;img_full;seller
https://baza.drom.ru/chita/wheel/disc/dip-shogun-a1-64215942.html;21999;Дип. Shogun A1;Дип. Shogun A1;"9.5x17"", 5x114.30, ET12, ЦО 73,1мм.";"17""";"9.5""";12мм;114.30x5;Литой;73,1 мм.;26999;Shogun;https://static.baza.farpost.ru/drom/1528978101825_bulletin;https://static.baza.farpost.ru/drom/1528978101825_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-rays-te37-65911209.html;17999;New! Rays te37;Rays te37;"7.0x16"", 4x98.00, 4x100.00, ET31, ЦО 73,1мм.";"16""";"7.0""";31мм;98.00x4,100.00x4;Литой;73,1 мм.;22999;RAYS;https://static.baza.farpost.ru/drom/1535020513735_bulletin;https://static.baza.farpost.ru/drom/1535020513735_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-rota-grid-te37-66096503.html;26999;New! Rota Grid TE37;Rota Grid TE37;"9.0x18"", 5x114.30, ET30, ЦО 73,1мм.";"18""";"9.0""";30мм;114.30x5;Литой;73,1 мм.;31999;RAYS;https://static.baza.farpost.ru/drom/1517821879538_bulletin;https://static.baza.farpost.ru/drom/1517821879538_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-work-emotion-cr-kiwami-60210649.html;21999;New! Work Emotion Cr-Kiwami;Work Emotion Cr-Kiwami;"8.0x17"", 5x100.00, 5x114.30, ET35, ЦО 73,1мм.";"17""";"8.0""";35мм;100.00x5,114.30x5;Литой;73,1 мм.;26999;Work;https://static.baza.farpost.ru/drom/1494590370807_bulletin;https://static.baza.farpost.ru/drom/1494590370807_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-weld-61486059.html;25999;Комплект дисков Weld;Weld;"10.5x18"", 5x114.30, ET30, ЦО 73,1мм.";"18""";"10.5""";30мм;114.30x5;Литой;73,1 мм.;30999;Weld;https://static.baza.farpost.ru/drom/1506740120850_bulletin;https://static.baza.farpost.ru/drom/1506740120850_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-vossen-cv4-61916520.html;21999;New! Vossen CV4;Vossen CV4;"8.0x17"", 5x114.30, ET31, ЦО 73,1мм.";"17""";"8.0""";31мм;114.30x5;Литой;73,1 мм.;26999;Vossen;https://static.baza.farpost.ru/drom/1535093676943_bulletin;https://static.baza.farpost.ru/drom/1535093676943_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-rays-te37-62851158.html;21999;Комплект дисков Rays te37;Rays te37;"8.0x17"", 5x100.00, ET30, ЦО 73,1мм.";"17""";"8.0""";30мм;100.00x5;Литой;73,1 мм.;26999;RAYS;https://static.baza.farpost.ru/drom/1517821879538_bulletin;https://static.baza.farpost.ru/drom/1517821879538_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-komplekt-work-polka-62940283.html;26999;New! Комплект Work полка;Work полка;"9.5x18"", 5x114.30, ET20, ЦО 73,1мм.";"18""";"9.5""";20мм;114.30x5;Литой;73,1 мм.;31999;Work;https://static.baza.farpost.ru/drom/1524746219541_bulletin;https://static.baza.farpost.ru/drom/1524746219541_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-work-emotion-cr-kiwami-63194451.html;26999;New! Work Emotion Cr-Kiwami;Work Emotion Cr-Kiwami;"8.5/9.5x18"", 5x100.00, 5x114.30, ET35/30, ЦО 73,1мм.";"18""";"8.5/9.5""";35/30мм;100.00x5,114.30x5;Литой;73,1 мм.;31999;Work;https://static.baza.farpost.ru/drom/1481772150991_bulletin;https://static.baza.farpost.ru/drom/1481772150991_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-bronza-shogun-a1-65080792.html;26999;New! Бронза. Shogun A1;Бронза. Shogun A1;"8.5x18"", 5x114.30, ET35, ЦО 73,1мм.";"18""";"8.5""";35мм;114.30x5;Литой;73,1 мм.;31999;Shogun;https://static.baza.farpost.ru/drom/1531208250942_bulletin;https://static.baza.farpost.ru/drom/1531208250942_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-vossen-cv3-53910137.html;25999;Комплект дисков Vossen CV3;Vossen CV3;"8.0/9.0x18"", 5x114.30, ET40/37, ЦО 73,1мм.";"18""";"8.0/9.0""";40/37мм;114.30x5;Литой;73,1 мм.;30999;Vossen;https://static.baza.farpost.ru/drom/1493794653448_bulletin;https://static.baza.farpost.ru/drom/1493794653448_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-work-emotion-cr-kiwami-57912413.html;21999;New! Work Emotion Cr-Kiwami;Work Emotion Cr-Kiwami;"9.0x17"", 5x100.00, 5x114.30, ET28, ЦО 73,1мм.";"17""";"9.0""";28мм;100.00x5,114.30x5;Литой;73,1 мм.;26999;Work;https://static.baza.farpost.ru/drom/1506823139603_bulletin;https://static.baza.farpost.ru/drom/1506823139603_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-komplekt-diskov-work-t7r-62811665.html;26999;New! Комплект дисков Work T7R;Work T7R;"8.5/9.5x18"", 5x114.30, ET33/25, ЦО 73,1мм.";"18""";"8.5/9.5""";33/25мм;114.30x5;Литой;73,1 мм.;31999;Work;https://static.baza.farpost.ru/drom/1524398057634_bulletin;https://static.baza.farpost.ru/drom/1524398057634_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-vossen-vfs2-63830650.html;33000;Комплект дисков Vossen VFS2;Vossen VFS2;"9.5x19"", 5x114.30, ET32, ЦО 73,1мм.";"19""";"9.5""";32мм;114.30x5;Литой;73,1 мм.;43000;Vossen;https://static.baza.farpost.ru/drom/1493273173001_bulletin;https://static.baza.farpost.ru/drom/1493273173001_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-weds-64155315.html;21999;Комплект дисков Weds;Weds;"8.0x17"", 5x114.30, ET35, ЦО 73,1мм.";"17""";"8.0""";35мм;114.30x5;Литой;73,1 мм.;26999;Weds;https://static.baza.farpost.ru/drom/1500430604891_bulletin;https://static.baza.farpost.ru/drom/1500430604891_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-work-equip-03-64427840.html;14999;NEW! Work Equip 03;Work Equip 03;"7.0x15"", 4x100.00, ET18, ЦО 73,1мм.";"15""";"7.0""";18мм;100.00x4;Литой;73,1 мм.;19999;Work;https://static.baza.farpost.ru/drom/1531274059955_bulletin;https://static.baza.farpost.ru/drom/1531274059955_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-work-emotion-cr-kiwami-64841298.html;26999;New! Work Emotion Cr-Kiwami;Work Emotion Cr-Kiwami;"8.5x18"", 5x114.30, ET38, ЦО 73,1мм.";"18""";"8.5""";38мм;114.30x5;Литой;73,1 мм.;31999;Work;https://static.baza.farpost.ru/drom/1531193825341_bulletin;https://static.baza.farpost.ru/drom/1531193825341_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-cosmis-racing-mrii-65095247.html;25999;NEW! Cosmis Racing MRII;Cosmis Racing MRII;"9.5x18"", 5x114.30, ET22, ЦО 73,1мм.";"18""";"9.5""";22мм;114.30x5;Литой;73,1 мм.;30999;Cosmis Racing MRII;https://static.baza.farpost.ru/drom/1520482943120_bulletin;https://static.baza.farpost.ru/drom/1520482943120_default;Replika777
